arrival_times,start_times,completion_times,ttft,tbt
314.9955723484426,516.1958172676248,517.0116120096001,201.326738503844,0.010770330583023693
316.3693682151705,517.0116120096001,517.7679142208958,200.72693569354664,0.010493911127791643
317.580915640685,517.7679142208958,518.6585945648816,200.3487100347869,0.01139013889702519
317.6014410140517,518.6585945648816,519.7294287998322,201.3837398628482,0.011628873795818638
318.4838590897966,519.7294287998322,520.3679655710265,201.27109652976583,0.009578280491626309
318.55684307508716,520.3679655710265,521.1454690641751,201.9285259661275,0.010314062858758041
318.5950570422144,521.1454690641751,522.0658018888537,202.65387060332705,0.012763660051752852
319.16329298470094,522.0658018888537,523.1780215881743,203.1874856184258,0.012925671641367405
319.4676106603621,523.1780215881743,523.9466741459748,203.79270899253174,0.01072428895439149
320.2553891052437,523.9466741459748,524.6404024619999,203.72785178830247,0.010268149507090185
321.8907865188734,524.6404024619999,525.491152052956,202.800650918033,0.012495540875774615
322.1658815394956,525.491152052956,526.3886541314984,203.4990608466607,0.011307996020970087
322.62776239314,526.3886541314984,527.2728064956079,204.0116564562158,0.009896681972689718
322.6293256125503,527.2728064956079,528.1481182780501,204.68753084334418,0.012988465971181203
322.7449028713312,528.1481182780501,528.8612554746687,205.44684081242656,0.010461121732984253
323.3055421385081,528.8612554746687,529.492323131834,205.59026783829137,0.00932051804741535
323.3117917008479,529.492323131834,530.1804347272699,206.1837497511096,0.010701457426757061
323.8357713641303,530.1804347272699,531.1374857019805,206.47225908407074,0.012960238340302927
324.3320955902279,531.1374857019805,532.197461686348,207.1819066124969,0.010679054431612559
324.3807506129285,532.197461686348,532.9998945572073,207.92276614980494,0.01088090303865327
325.6808172191455,532.9998945572073,533.9540076940924,207.35097068354492,0.014409684240655448
326.40662472908804,533.9540076940924,534.6958941692923,207.61127761173026,0.010593622319905864
327.6050591095769,534.6958941692923,535.506216915045,207.16106907801975,0.01156388636637945
327.68816378090435,535.506216915045,536.2376384002486,207.8263473368578,0.011298863788849893
328.3897627800184,536.2376384002486,537.1083041897084,208.00747020522,0.011110487569844327
328.5999163160274,537.1083041897084,537.9081729370323,208.58390020585176,0.011318068986766822
330.12263532737006,537.9081729370323,538.9060690537635,208.10390826812193,0.010617585285492698
330.4548876542412,538.9060690537635,539.7078758150909,208.5942275058065,0.010293135235049985
330.9369055135611,539.7078758150909,540.7814051550237,209.06078508560245,0.012245539935313412
331.0998161887888,540.7814051550237,541.3722721425714,209.68755855132207,0.009139021913446304
331.42150978658333,541.3722721425714,542.3025356512401,210.108783338884,0.012066289465198606
332.11839245395237,542.3025356512401,542.9795224405684,210.1850448108084,0.01056383087199383
332.6498838272984,542.9795224405684,543.7174609216813,210.4637593031129,0.009434652988594352
332.65688619551173,543.7174609216813,544.4131499202737,211.0834194878134,0.010513191202321737
332.6748097504786,544.4131499202737,545.8098916620236,212.33039176682274,0.012573283511284875
332.9809965962842,545.8098916620236,546.5708329011512,212.8505681534662,0.011551064865637993
333.7343381682983,546.5708329011512,547.2674482717317,212.87796463243882,0.010236647984290964
334.20131786013155,547.2674482717317,547.9580744966055,213.09743275573078,0.010301935636612743
334.3015821127892,547.9580744966055,548.8297812734867,213.86119580302488,0.010421927463634365
335.1132223194616,548.8297812734867,549.6345203029565,213.7489458539722,0.012068002023792554
336.79958236482037,549.6345203029565,550.6674712405894,213.06152147373473,0.012599490656785294
337.0048038455769,550.6674712405894,551.4772850504667,213.67146134428577,0.01251593532193691
337.3300145525483,551.4772850504667,552.2173480153881,214.19262757604258,0.01085477948120643
337.6246673586591,552.2173480153881,553.2424295554619,214.8137260468706,0.012563064842688966
337.79832072674185,553.2424295554619,553.9632028462127,215.53535563205003,0.009836351365950144
338.0110175091502,553.9632028462127,555.23303813549,216.50240582987465,0.011243981194768906
338.1897846377735,555.23303813549,555.993896895222,217.17899647608647,0.009767434083780224
338.291110000082,555.993896895222,556.7380569484884,217.7420172929214,0.011014525866953687
338.32102355942743,556.7380569484884,557.4768553288148,218.4419856231118,0.011153846035557111
338.4896599419635,557.4768553288148,558.4726304602946,219.3380885357842,0.010076280977294464
339.5749612264353,558.4726304602946,559.2485954662086,218.9693801292952,0.011003970476221172
339.7692431188838,559.2485954662086,560.4339660712649,219.89098279591764,0.012089689944740379
339.9042394680854,560.4339660712649,560.9597722221127,220.5664246354728,0.007642314352414074
340.6815666002774,560.9597722221127,561.975655949722,220.45083470903444,0.013175853756408744
340.94026489889484,561.975655949722,562.8797821240623,221.25777372997925,0.010652242112316107
341.6559453209179,562.8797821240623,563.6463873214341,221.2341153177482,0.011817604418249864
342.2369850878505,563.6463873214341,564.3998066522,221.42987829611025,0.011452238566239179
342.81804038772566,564.3998066522,565.1038923418984,221.63142690716245,0.010225391359534776
343.00001773465857,565.1038923418984,565.9654718649814,222.25859971324195,0.011044600266888843
343.4271340198233,565.9654718649814,566.7652123517883,222.57898755348089,0.011860793413812413
344.87880048762105,566.7652123517883,567.6620790014271,222.09586271866073,0.010740871799144328
345.55785983474505,567.6620790014271,568.4674565610525,222.24740641819676,0.010346723564228506
346.1685787076648,568.4674565610525,569.4094614451418,222.50860266551263,0.011441876124444412
346.4712432209743,569.4094614451418,570.216396999483,223.00062653131954,0.011633238237329441
347.0546781595656,570.216396999483,571.1053307797558,223.24107015552613,0.012649726010377022
347.4213027786304,571.1053307797558,572.0206233951047,223.88316036583814,0.011190003916190457
347.5111018406146,572.0206233951047,572.7530055490465,224.5725387422097,0.010458827597222267
347.68841113041765,572.7530055490465,573.5851882863891,225.13922686009926,0.011836723373002424
347.773874347066,573.5851882863891,574.389336378975,226.00842882026768,0.00948489393189585
348.320940328021,574.389336378975,575.1957190924902,226.1289088645545,0.011654217186168266
348.3714148975731,575.1957190924902,576.3254232187065,227.30458480339473,0.010147242464666542
348.41777360197045,576.3254232187065,577.1035500446941,227.92594801547682,0.011872319175731425
348.52568533867685,577.1035500446941,577.9528249052062,228.6970368874766,0.011407854360198186
348.76363718100856,577.9528249052062,579.4456679744127,230.03761657631753,0.01006897214197821
348.85158068199377,579.4456679744127,580.5408765570207,230.8597844731542,0.012961115654262471
349.507601120385,580.5408765570207,581.8431552258775,231.5237597258169,0.012684287182430124
349.8945198311389,581.8431552258775,583.0746107922042,232.48113326483548,0.01092121400359208
352.4516403250688,583.0746107922042,583.8704726378296,230.7191127602527,0.010933118007938777
354.158522219232,583.8704726378296,585.0970575285844,230.0542134836772,0.013817528526175496
354.5171606927001,585.0970575285844,586.1710415572877,230.80027065729786,0.013337659488902236
354.83531388858694,586.1710415572877,587.0246290550211,231.4637999490377,0.011336175271819633
354.8951808161297,587.0246290550211,587.8414198291068,232.26014556452014,0.010720210132140674
355.71959437241213,587.8414198291068,588.4037379241827,232.13146761192985,0.008635561560011178
357.4827877978544,588.4037379241827,589.2464391542486,230.93189629851696,0.012996172779331084
357.81208534906943,589.2464391542486,590.3656241934356,231.8471699255415,0.011037014356635833
358.60208598877983,590.3656241934356,591.0951829028244,231.79424627819736,0.010919541185112187
358.61254002388154,591.0951829028244,591.9171524901521,232.56574851249576,0.011544749277732719
362.306288645485,591.9171524901521,592.7764294652878,229.64454484998646,0.012899937028381195
362.35937852255574,592.7764294652878,593.7056985894678,230.5252458093264,0.012829285274775663
363.11531541247325,593.7056985894678,594.5248693639536,230.62718405189105,0.012224529681082525
363.14256568109283,594.5248693639536,595.3727537550616,231.45168214646628,0.012164155117226362
363.3144045212527,595.3727537550616,596.4744388833114,232.33620830706417,0.012872282109289614
363.51494710858543,596.4744388833114,597.1757615596888,233.03432643347406,0.009788875275457458
364.0441335714148,597.1757615596888,597.9163226857513,233.14313763847838,0.011391429310283798
